parcode,trial,fix_item,fix_time
0,0,3,176.000000
0,0,0,42.000000
0,0,1,188.000000
0,0,0,72.000000
0,0,2,582.000000
0,0,0,68.000000
0,0,1,834.000000
0,1,3,207.000000
0,1,0,46.000000
0,1,1,318.000000
0,1,0,78.000000
0,1,2,646.000000
0,1,0,72.000000
0,1,1,514.000000
0,1,0,70.000000
0,1,2,358.000000
0,1,0,74.000000
0,1,1,516.000000
0,2,3,203.000000
0,2,0,52.000000
0,2,1,194.000000
0,2,0,66.000000
0,2,2,574.000000
0,2,0,70.000000
0,2,1,364.000000
0,2,0,78.000000
0,2,2,30.000000
0,3,3,165.000000
0,3,0,46.000000
0,3,1,1408.000000
0,3,0,70.000000
0,3,2,808.000000
0,3,0,70.000000
0,3,1,262.000000
0,3,0,72.000000
0,3,2,302.000000
0,4,3,177.000000
0,4,0,56.000000
0,4,1,266.000000
0,4,0,80.000000
0,4,2,602.000000
0,5,3,177.000000
0,5,0,50.000000
0,5,1,238.000000
0,5,0,74.000000
0,5,2,196.000000
0,5,0,400.000000
0,5,1,266.000000
0,5,0,72.000000
0,5,2,40.000000
0,6,3,174.000000
0,6,0,56.000000
0,6,1,222.000000
0,6,0,70.000000
0,6,2,346.000000
0,6,0,78.000000
0,6,1,242.000000
0,7,3,199.000000
0,7,0,44.000000
0,7,1,408.000000
0,7,0,76.000000
0,7,2,412.000000
0,7,0,76.000000
0,7,1,300.000000
0,8,3,181.000000
0,8,0,48.000000
0,8,1,274.000000
0,8,0,68.000000
0,8,2,520.000000
0,8,0,82.000000
0,8,1,450.000000
0,8,0,80.000000
0,8,2,150.000000
0,9,3,191.000000
0,9,0,48.000000
0,9,1,296.000000
0,9,0,76.000000
0,9,2,498.000000
0,9,0,80.000000
0,9,1,468.000000
0,9,0,112.000000
0,9,2,50.000000
0,10,3,171.000000
0,10,0,48.000000
0,10,1,336.000000
0,10,0,76.000000
0,10,2,314.000000
0,10,0,42.000000
0,11,3,233.000000
0,11,0,48.000000
0,11,1,260.000000
0,11,0,70.000000
0,11,2,514.000000
0,12,3,217.000000
0,12,0,44.000000
0,12,2,302.000000
0,12,0,72.000000
0,12,1,412.000000
0,12,0,76.000000
0,12,2,222.000000
0,13,3,177.000000
0,13,0,46.000000
0,13,1,316.000000
0,13,0,74.000000
0,13,2,442.000000
0,13,0,82.000000
0,13,1,882.000000
0,14,3,187.000000
0,14,0,46.000000
0,14,1,226.000000
0,14,0,68.000000
0,14,2,346.000000
0,15,3,161.000000
0,15,0,48.000000
0,15,1,332.000000
0,15,0,78.000000
0,15,2,586.000000
0,16,3,235.000000
0,16,0,50.000000
0,16,1,234.000000
0,16,0,74.000000
0,16,2,492.000000
0,17,3,179.000000
0,17,0,48.000000
0,17,1,230.000000
0,17,0,76.000000
0,17,2,312.000000
0,17,0,78.000000
0,17,1,210.000000
0,18,3,193.000000
0,18,0,50.000000
0,18,1,208.000000
0,18,0,68.000000
0,18,2,462.000000
0,19,3,202.000000
0,19,0,54.000000
0,19,1,186.000000
